Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,ProtocolName
192.168.51.50-10.200.7.6-62803-3128-6,192.168.51.50,62803,10.200.7.6,3128,6,26/04/201711:11:17,284136,6,9,1631,1063,HTTP_CONNECT
192.168.51.50-10.200.7.6-62803-3128-6,192.168.51.50,62803,10.200.7.6,3128,6,26/04/201711:11:18,681,2,0,12,0,HTTP_CONNECT
172.19.1.58-10.200.7.8-50386-3128-6,172.19.1.58,50386,10.200.7.8,3128,6,26/04/201711:11:17,559624,144,532,889,972157,HTTP_PROXY
172.19.1.58-10.200.7.8-50386-3128-6,10.200.7.8,3128,172.19.1.58,50386,6,26/04/201711:11:18,1,2,0,12,0,HTTP
192.168.72.43-10.200.7.7-55996-3128-6,192.168.72.43,55996,10.200.7.7,3128,6,26/04/201711:11:17,251334,9,0,1074,0,HTTP_PROXY
190.60.67.98-10.200.7.217-80-54171-6,10.200.7.217,54171,190.60.67.98,80,6,26/04/201711:11:17,608877,139,587,11598,1217608,HTTP
190.60.67.98-10.200.7.217-80-54171-6,10.200.7.217,54171,190.60.67.98,80,6,26/04/201711:11:18,173,1,3,0,0,HTTP
172.17.1.110-10.200.7.5-49451-3128-6,10.200.7.5,3128,172.17.1.110,49451,6,26/04/201711:11:18,104619,10,0,3713,0,HTTP
172.17.1.110-10.200.7.5-49451-3128-6,10.200.7.5,3128,172.17.1.110,49451,6,26/04/201711:11:18,29,5,0,6609,0,HTTP
172.17.1.110-10.200.7.5-49451-3128-6,10.200.7.5,3128,172.17.1.110,49451,6,26/04/201711:11:18,460,3,0,3689,0,HTTP
190.60.67.98-10.200.7.217-80-54170-6,10.200.7.217,54170,190.60.67.98,80,6,26/04/201711:11:17,430816,34,51,4858,86153,HTTP
190.60.67.98-10.200.7.217-80-54170-6,10.200.7.217,54170,190.60.67.98,80,6,26/04/201711:11:18,29,1,3,0,0,HTTP
192.168.72.43-10.200.7.7-56005-3128-6,192.168.72.43,56005,10.200.7.7,3128,6,26/04/201711:11:18,140794,7,0,864,0,HTTP_PROXY
190.60.67.98-10.200.7.217-80-54173-6,10.200.7.217,54173,190.60.67.98,80,6,26/04/201711:11:18,56587,7,4,2324,1016,HTTP
190.60.67.98-10.200.7.217-80-54173-6,10.200.7.217,54173,190.60.67.98,80,6,26/04/201711:11:18,292,1,3,0,0,HTTP
192.168.10.47-10.200.7.6-51849-3128-6,192.168.10.47,51849,10.200.7.6,3128,6,26/04/201711:11:18,98397,3,12,232,744,HTTP_CONNECT
190.60.67.98-10.200.7.217-80-54175-6,10.200.7.217,54175,190.60.67.98,80,6,26/04/201711:11:18,73839,7,4,2336,1016,HTTP
190.60.67.98-10.200.7.217-80-54175-6,10.200.7.217,54175,190.60.67.98,80,6,26/04/201711:11:18,283,1,3,0,0,HTTP
172.19.1.57-10.200.7.7-50184-3128-6,172.19.1.57,50184,10.200.7.7,3128,6,26/04/201711:11:17,671266,159,502,919,916870,HTTP_PROXY
192.168.72.43-10.200.7.7-56008-3128-6,192.168.72.43,56008,10.200.7.7,3128,6,26/04/201711:11:18,92878,9,0,2154,0,HTTP_PROXY
192.168.72.43-10.200.7.7-56000-3128-6,192.168.72.43,56000,10.200.7.7,3128,6,26/04/201711:11:18,347402,43,0,10010,0,HTTP_PROXY
172.19.1.64-10.200.7.8-49863-3128-6,172.19.1.64,49863,10.200.7.8,3128,6,26/04/201711:11:18,192268,123,376,1194,684258,HTTP_PROXY
192.168.180.37-10.200.7.9-1982-3128-6,192.168.180.37,1982,10.200.7.9,3128,6,26/04/201711:11:17,606743,14,66,2214,47866,HTTP_CONNECT
192.168.180.37-10.200.7.9-1982-3128-6,10.200.7.9,3128,192.168.180.37,1982,6,26/04/201711:11:18,86,5,0,0,0,HTTP
207.244.80.182-10.200.7.199-443-46622-6,10.200.7.199,46622,207.244.80.182,443,6,26/04/201711:11:18,299053,16,8,2070,14759,SSL
192.168.180.37-10.200.7.9-1982-3128-6,10.200.7.9,3128,192.168.180.37,1982,6,26/04/201711:11:18,1,2,0,0,0,HTTP
192.168.180.37-10.200.7.9-1982-3128-6,10.200.7.9,3128,192.168.180.37,1982,6,26/04/201711:11:18,1,2,0,0,0,HTTP
192.168.72.43-10.200.7.7-56007-3128-6,192.168.72.43,56007,10.200.7.7,3128,6,26/04/201711:11:18,269695,35,0,6925,0,HTTP_PROXY
10.200.7.195-104.91.156.236-37458-80-6,10.200.7.195,37458,104.91.156.236,80,6,26/04/201711:11:18,37651,3,3,169,0,HTTP
179.1.4.231-10.200.7.217-443-56687-6,179.1.4.231,443,10.200.7.217,56687,6,26/04/201711:11:18,1017,2,5,126,0,SSL
192.168.72.43-10.200.7.7-56015-3128-6,192.168.72.43,56015,10.200.7.7,3128,6,26/04/201711:11:18,29463,7,0,994,0,HTTP_PROXY
179.1.4.210-10.200.7.217-443-51536-6,179.1.4.210,443,10.200.7.217,51536,6,26/04/201711:11:18,1041,2,5,126,0,SSL
10.200.7.195-104.91.156.236-37461-80-6,10.200.7.195,37461,104.91.156.236,80,6,26/04/201711:11:18,37534,3,3,169,0,HTTP
192.168.42.31-10.200.7.5-52680-3128-6,192.168.42.31,52680,10.200.7.5,3128,6,26/04/201711:11:18,405528,7,33,669,17153,YOUTUBE
216.58.202.225-10.200.7.195-443-44858-6,10.200.7.195,44858,216.58.202.225,443,6,26/04/201711:11:18,346773,8,3,443,2799,YOUTUBE
192.168.42.31-10.200.7.5-52677-3128-6,192.168.42.31,52677,10.200.7.5,3128,6,26/04/201711:11:18,407686,7,30,669,11635,YOUTUBE
192.168.42.31-10.200.7.5-52680-3128-6,10.200.7.5,3128,192.168.42.31,52680,6,26/04/201711:11:18,12,2,0,12,0,HTTP
216.58.202.225-10.200.7.195-443-44857-6,216.58.202.225,443,10.200.7.195,44857,6,26/04/201711:11:18,216013,4,5,2836,443,YOUTUBE
192.168.42.31-10.200.7.5-52680-3128-6,10.200.7.5,3128,192.168.42.31,52680,6,26/04/201711:11:18,479,2,0,12,0,HTTP
192.168.42.31-10.200.7.5-52677-3128-6,10.200.7.5,3128,192.168.42.31,52677,6,26/04/201711:11:18,47,2,0,12,0,HTTP
192.168.42.31-10.200.7.5-52677-3128-6,10.200.7.5,3128,192.168.42.31,52677,6,26/04/201711:11:18,97,2,0,12,0,HTTP
192.168.42.31-10.200.7.5-52681-3128-6,192.168.42.31,52681,10.200.7.5,3128,6,26/04/201711:11:18,407276,7,33,669,12930,YOUTUBE
216.58.202.225-10.200.7.195-443-44859-6,10.200.7.195,44859,216.58.202.225,443,6,26/04/201711:11:18,348841,8,4,443,4215,YOUTUBE
192.168.42.31-10.200.7.5-52681-3128-6,10.200.7.5,3128,192.168.42.31,52681,6,26/04/201711:11:18,16,2,0,12,0,HTTP
192.168.42.31-10.200.7.5-52681-3128-6,10.200.7.5,3128,192.168.42.31,52681,6,26/04/201711:11:18,44,2,0,12,0,HTTP
192.168.42.31-10.200.7.5-52678-3128-6,192.168.42.31,52678,10.200.7.5,3128,6,26/04/201711:11:18,409589,7,30,669,8761,YOUTUBE
216.58.202.225-10.200.7.195-443-44855-6,10.200.7.195,44855,216.58.202.225,443,6,26/04/201711:11:18,350822,7,3,443,1418,YOUTUBE
192.168.42.31-10.200.7.5-52678-3128-6,10.200.7.5,3128,192.168.42.31,52678,6,26/04/201711:11:18,20,2,0,12,0,HTTP
192.168.42.31-10.200.7.5-52678-3128-6,10.200.7.5,3128,192.168.42.31,52678,6,26/04/201711:11:18,28,2,0,12,0,HTTP
10.200.7.195-104.91.156.236-37465-80-6,10.200.7.195,37465,104.91.156.236,80,6,26/04/201711:11:18,41700,3,3,169,0,HTTP
157.240.0.22-10.200.7.217-443-53809-6,10.200.7.217,53809,157.240.0.22,443,6,26/04/201711:11:18,1,2,0,0,0,FACEBOOK
213.239.207.69-10.200.7.196-80-35706-6,10.200.7.196,35706,213.239.207.69,80,6,26/04/201711:11:17,661481,8,6,293,2933,CONTENT_FLASH
179.1.4.223-10.200.7.195-80-36951-6,10.200.7.195,36951,179.1.4.223,80,6,26/04/201711:11:18,40659,3,3,171,0,GOOGLE
192.168.10.47-10.200.7.6-51850-3128-6,192.168.10.47,51850,10.200.7.6,3128,6,26/04/201711:11:18,11779,3,12,232,3664,HTTP_CONNECT
192.168.10.47-10.200.7.6-51850-3128-6,10.200.7.6,3128,192.168.10.47,51850,6,26/04/201711:11:18,16,4,0,4386,0,HTTP
192.168.10.47-10.200.7.6-51850-3128-6,10.200.7.6,3128,192.168.10.47,51850,6,26/04/201711:11:18,124,4,0,2932,0,HTTP
192.168.10.17-10.200.7.7-53320-3128-6,10.200.7.7,3128,192.168.10.17,53320,6,26/04/201711:11:17,1128230,43,19,19232,1960,HTTP_PROXY
216.58.212.195-10.200.7.217-443-38493-6,216.58.212.195,443,10.200.7.217,38493,6,26/04/201711:11:17,1129776,22,29,9232,1930,GOOGLE
192.168.10.17-10.200.7.7-53320-3128-6,10.200.7.7,3128,192.168.10.17,53320,6,26/04/201711:11:18,228,2,0,12,0,HTTP_PROXY
172.217.29.69-10.200.7.217-443-36878-6,172.217.29.69,443,10.200.7.217,36878,6,26/04/201711:11:17,1067242,18,15,2778,136,GOOGLE
216.58.202.234-10.200.7.217-443-36488-6,216.58.202.234,443,10.200.7.217,36488,6,26/04/201711:11:17,1039966,26,25,9248,2718,GOOGLE
192.168.180.37-10.200.7.9-1984-3128-6,192.168.180.37,1984,10.200.7.9,3128,6,26/04/201711:11:18,325840,13,62,766,41096,HTTP_CONNECT
192.168.180.37-10.200.7.9-1984-3128-6,192.168.180.37,1984,10.200.7.9,3128,6,26/04/201711:11:18,131,1,1,0,0,HTTP_CONNECT
207.244.80.182-10.200.7.199-443-46624-6,10.200.7.199,46624,207.244.80.182,443,6,26/04/201711:11:18,318278,14,9,424,13405,SSL
192.168.180.37-10.200.7.9-1984-3128-6,10.200.7.9,3128,192.168.180.37,1984,6,26/04/201711:11:18,1,2,0,0,0,HTTP
192.168.180.37-10.200.7.9-1984-3128-6,10.200.7.9,3128,192.168.180.37,1984,6,26/04/201711:11:18,23,2,0,0,0,HTTP
216.58.202.225-10.200.7.195-443-44857-6,216.58.202.225,443,10.200.7.195,44857,6,26/04/201711:11:18,45343,4,3,368,18,YOUTUBE
179.1.4.223-10.200.7.195-80-36953-6,10.200.7.195,36953,179.1.4.223,80,6,26/04/201711:11:18,45023,3,3,171,0,GOOGLE
192.168.72.43-10.200.7.7-56012-3128-6,192.168.72.43,56012,10.200.7.7,3128,6,26/04/201711:11:18,386860,9,0,1106,0,HTTP_PROXY
179.1.4.217-10.200.7.217-443-51934-6,179.1.4.217,443,10.200.7.217,51934,6,26/04/201711:11:18,1,2,0,0,0,SSL
179.1.4.217-10.200.7.217-443-51934-6,179.1.4.217,443,10.200.7.217,51934,6,26/04/201711:11:18,689,2,5,110,0,SSL
192.168.32.49-10.200.7.9-54498-3128-6,192.168.32.49,54498,10.200.7.9,3128,6,26/04/201711:11:17,1064471,9,46,1917,16387,HTTP_CONNECT
10.200.7.199-50.97.172.202-52427-443-6,10.200.7.199,52427,50.97.172.202,443,6,26/04/201711:11:17,1063818,10,5,1692,5205,SSL
192.168.32.49-10.200.7.9-54498-3128-6,10.200.7.9,3128,192.168.32.49,54498,6,26/04/201711:11:18,2,2,0,12,0,HTTP
192.168.32.49-10.200.7.9-54498-3128-6,10.200.7.9,3128,192.168.32.49,54498,6,26/04/201711:11:18,152,2,0,12,0,HTTP
179.1.4.223-10.200.7.195-80-36954-6,10.200.7.195,36954,179.1.4.223,80,6,26/04/201711:11:18,41147,3,3,171,0,GOOGLE
172.19.1.68-10.200.7.4-50019-3128-6,10.200.7.4,3128,172.19.1.68,50019,6,26/04/201711:11:17,1325770,240,0,412574,0,HTTP
212.124.124.94-10.200.7.194-443-44455-6,10.200.7.194,44455,212.124.124.94,443,6,26/04/201711:11:18,297160,7,6,2277,628,SSL
212.124.124.94-10.200.7.194-443-44455-6,10.200.7.194,44455,212.124.124.94,443,6,26/04/201711:11:18,1053,2,0,12,0,SSL
192.168.180.51-10.200.7.4-57747-3128-6,192.168.180.51,57747,10.200.7.4,3128,6,26/04/201711:11:18,302873,6,42,2502,2199,HTTP_CONNECT
192.168.180.51-10.200.7.4-57747-3128-6,192.168.180.51,57747,10.200.7.4,3128,6,26/04/201711:11:18,2259,2,0,12,0,HTTP_CONNECT
212.124.124.94-10.200.7.194-443-44456-6,10.200.7.194,44456,212.124.124.94,443,6,26/04/201711:11:18,301857,6,6,817,628,SSL
212.124.124.94-10.200.7.194-443-44456-6,10.200.7.194,44456,212.124.124.94,443,6,26/04/201711:11:18,874,2,0,12,0,SSL
192.168.180.51-10.200.7.4-57748-3128-6,192.168.180.51,57748,10.200.7.4,3128,6,26/04/201711:11:18,305658,6,40,1042,2461,HTTP_CONNECT
192.168.180.51-10.200.7.4-57748-3128-6,10.200.7.4,3128,192.168.180.51,57748,6,26/04/201711:11:18,10,2,0,12,0,HTTP
192.168.180.51-10.200.7.4-57748-3128-6,10.200.7.4,3128,192.168.180.51,57748,6,26/04/201711:11:18,37,3,0,964,0,HTTP
192.168.180.51-10.200.7.4-57748-3128-6,10.200.7.4,3128,192.168.180.51,57748,6,26/04/201711:11:18,2071,1,2,6,12,HTTP
10.200.7.199-104.91.156.236-60947-80-6,10.200.7.199,60947,104.91.156.236,80,6,26/04/201711:11:18,15006,3,3,164,0,HTTP
212.124.124.94-10.200.7.194-443-44458-6,10.200.7.194,44458,212.124.124.94,443,6,26/04/201711:11:18,299818,6,6,817,628,SSL
192.168.180.51-10.200.7.4-57750-3128-6,192.168.180.51,57750,10.200.7.4,3128,6,26/04/201711:11:18,305740,6,37,2502,1485,HTTP_CONNECT
192.168.180.51-10.200.7.4-57750-3128-6,10.200.7.4,3128,192.168.180.51,57750,6,26/04/201711:11:18,2022,1,2,6,12,HTTP
212.124.124.94-10.200.7.194-443-44454-6,10.200.7.194,44454,212.124.124.94,443,6,26/04/201711:11:18,322573,7,6,3211,913,SSL
212.124.124.94-10.200.7.194-443-44454-6,10.200.7.194,44454,212.124.124.94,443,6,26/04/201711:11:18,1,2,0,12,0,SSL
192.168.180.51-10.200.7.4-57746-3128-6,192.168.180.51,57746,10.200.7.4,3128,6,26/04/201711:11:18,328348,7,41,3436,1663,HTTP_CONNECT
192.168.180.51-10.200.7.4-57746-3128-6,10.200.7.4,3128,192.168.180.51,57746,6,26/04/201711:11:18,142,4,0,1540,0,HTTP
192.168.180.51-10.200.7.4-57746-3128-6,192.168.180.51,57746,10.200.7.4,3128,6,26/04/201711:11:18,1452,2,0,12,0,HTTP_CONNECT
212.124.124.94-10.200.7.194-443-44457-6,10.200.7.194,44457,212.124.124.94,443,6,26/04/201711:11:18,320315,7,6,3212,913,SSL
212.124.124.94-10.200.7.194-443-44457-6,10.200.7.194,44457,212.124.124.94,443,6,26/04/201711:11:18,399,2,0,12,0,SSL
192.168.180.51-10.200.7.4-57749-3128-6,192.168.180.51,57749,10.200.7.4,3128,6,26/04/201711:11:18,324445,7,40,3437,1788,HTTP_CONNECT
192.168.180.51-10.200.7.4-57749-3128-6,10.200.7.4,3128,192.168.180.51,57749,6,26/04/201711:11:18,199,3,0,776,0,HTTP
192.168.180.51-10.200.7.4-57749-3128-6,10.200.7.4,3128,192.168.180.51,57749,6,26/04/201711:11:18,1,2,0,770,0,HTTP
192.168.180.51-10.200.7.4-57749-3128-6,192.168.180.51,57749,10.200.7.4,3128,6,26/04/201711:11:18,1254,2,0,12,0,HTTP_CONNECT
179.1.4.244-10.200.7.217-443-53283-6,10.200.7.217,53283,179.1.4.244,443,6,26/04/201711:11:18,15112,2,1,92,0,SSL
10.200.7.199-104.91.156.236-60948-80-6,10.200.7.199,60948,104.91.156.236,80,6,26/04/201711:11:18,11675,3,3,164,0,HTTP
172.19.1.57-10.200.7.7-50185-3128-6,172.19.1.57,50185,10.200.7.7,3128,6,26/04/201711:11:18,419925,155,472,931,878018,HTTP_PROXY
172.19.1.57-10.200.7.7-50185-3128-6,10.200.7.7,3128,172.19.1.57,50185,6,26/04/201711:11:19,1,2,0,12,0,HTTP
192.168.180.37-10.200.7.9-1986-3128-6,192.168.180.37,1986,10.200.7.9,3128,6,26/04/201711:11:18,620750,14,65,2214,37671,HTTP_CONNECT
192.168.180.37-10.200.7.9-1986-3128-6,10.200.7.9,3128,192.168.180.37,1986,6,26/04/201711:11:19,6,3,0,0,0,HTTP
207.244.80.182-10.200.7.199-443-46626-6,10.200.7.199,46626,207.244.80.182,443,6,26/04/201711:11:18,299110,16,9,2070,12793,SSL
192.168.180.37-10.200.7.9-1986-3128-6,10.200.7.9,3128,192.168.180.37,1986,6,26/04/201711:11:19,1,2,0,0,0,HTTP
10.200.7.199-104.91.156.236-60949-80-6,10.200.7.199,60949,104.91.156.236,80,6,26/04/201711:11:19,11475,3,3,164,0,HTTP
172.19.1.45-10.200.7.6-50226-3128-6,10.200.7.6,3128,172.19.1.45,50226,6,26/04/201711:11:17,1394144,510,0,929842,0,HTTP
179.1.4.237-10.200.7.199-80-39146-6,10.200.7.199,39146,179.1.4.237,80,6,26/04/201711:11:19,7926,3,3,166,0,GOOGLE
205.185.208.78-10.200.7.217-443-35703-6,205.185.208.78,443,10.200.7.217,35703,6,26/04/201711:11:19,1,2,0,0,0,SSL
205.185.208.78-10.200.7.217-443-35703-6,205.185.208.78,443,10.200.7.217,35703,6,26/04/201711:11:19,351,2,5,62,0,SSL
212.124.124.94-10.200.7.194-443-44453-6,10.200.7.194,44453,212.124.124.94,443,6,26/04/201711:11:18,493552,14,17,3193,47886,SSL
212.124.124.94-10.200.7.194-443-44453-6,10.200.7.194,44453,212.124.124.94,443,6,26/04/201711:11:19,430,2,0,12,0,SSL
192.168.180.51-10.200.7.4-57745-3128-6,192.168.180.51,57745,10.200.7.4,3128,6,26/04/201711:11:18,498509,13,116,3412,207862,HTTP_CONNECT
192.168.180.51-10.200.7.4-57745-3128-6,10.200.7.4,3128,192.168.180.51,57745,6,26/04/201711:11:19,1,2,0,1029,0,HTTP_PROXY
192.168.180.51-10.200.7.4-57745-3128-6,192.168.180.51,57745,10.200.7.4,3128,6,26/04/201711:11:19,65,1,2,6,1029,HTTP_CONNECT
192.168.180.51-10.200.7.4-57745-3128-6,10.200.7.4,3128,192.168.180.51,57745,6,26/04/201711:11:19,1,2,0,1029,0,HTTP_PROXY
192.168.180.51-10.200.7.4-57745-3128-6,192.168.180.51,57745,10.200.7.4,3128,6,26/04/201711:11:19,217,2,0,12,0,HTTP_CONNECT
179.1.4.237-10.200.7.199-80-39147-6,10.200.7.199,39147,179.1.4.237,80,6,26/04/201711:11:19,6011,3,3,166,0,GOOGLE
192.168.220.177-10.200.7.6-63598-3128-6,192.168.220.177,63598,10.200.7.6,3128,6,26/04/201711:11:17,1480850,7,22,907,3248,GOOGLE
192.168.220.177-10.200.7.6-63592-3128-6,192.168.220.177,63592,10.200.7.6,3128,6,26/04/201711:11:17,1502527,7,25,2707,9058,HTTP
192.168.220.177-10.200.7.6-63593-3128-6,192.168.220.177,63593,10.200.7.6,3128,6,26/04/201711:11:17,1488674,3,8,780,1304,GOOGLE
192.168.220.177-10.200.7.6-63600-3128-6,192.168.220.177,63600,10.200.7.6,3128,6,26/04/201711:11:17,1471286,14,48,2499,2574,HTTP_CONNECT
10.200.7.196-107.178.247.57-51900-443-6,10.200.7.196,51900,107.178.247.57,443,6,26/04/201711:11:17,1468855,15,13,880,467,SSL
192.168.220.177-10.200.7.6-63592-3128-6,10.200.7.6,3128,192.168.220.177,63592,6,26/04/201711:11:19,15,2,0,12,0,HTTP
